citing_ref,non_segment_ref,num_segments,num_dicta_candidates,candidate_ref,citation_is_section_level,dicta_score,phrase_distance,candidate_text_words,confirm_method,confirmed,opus_confirmed,opus_reason
"Torah Temimah on Torah, Numbers 6:11:2",Nedarim 10a,14,1,Nedarim 10a:9,True,2.3,199,54,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHLhiGgnVKqjZeuQ3VN'}"
Ohr LaYesharim on Jerusalem Talmud Berakhot 2:4:2,Berakhot 16a,23,1,Berakhot 16a:10,True,4.0,237,42,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHLhhn6AFr5ycFu6PzK'}"
"Yad Eitan on Mishneh Torah, Slaves 2:8:1",Kiddushin 2a:1-41a:2,1199,17,Kiddushin 24a:7,False,4.0,99,23,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHLhhnEUJ56WokBEGC7'}"
Ohr LaYesharim on Jerusalem Talmud Berakhot 2:4:2,Megillah 19b,15,5,Megillah 19b:7,True,9.0,298,27,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHLhojUibWsaUMDGAiD'}"
"Minchat Shai on Torah, Exodus 40:35:2",Exodus 1:1-6:1,124,1,Exodus 1:1,False,1.3,9,11,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHLhg3ESrEY3tANA3Qw'}"
"HaKtav VeHaKabalah, Deuteronomy 20:19:1",Exodus 18:1-20:23,75,2,Exodus 20:8,False,4.0,10,4,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHLhtgqLXhayAUFiVaK'}"
Ohr LaYesharim on Jerusalem Talmud Berakhot 2:4:2,Berakhot 15b,30,12,Berakhot 15b:10,True,37.0,138,52,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHLhoUqY1yBfB5eswWH'}"
Melekhet Shelomoh on Mishnah Nedarim 2:4:1,Nedarim 60a:4-63b:9,72,1,Nedarim 63a:8,False,4.0,452,34,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHLhmkM2aNBFqYzyAEG'}"
Parashat Derakhim 19:32,Yoma 17b,6,4,Yoma 17b:5,True,14.0,90,41,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHLhwAuqUbAFawwcKg4'}"
"Beit Yosef, Orach Chayim 178:4:1",Pesachim 102a,8,2,Pesachim 102a:7,True,2.3,22,16,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHLi3cgX6bEJVdVL1pH'}"
